 ******* Program HYDRUS
 ******* None                                                                    
 Date:   0.**.    Time: ***:**:**
 Units: L = cm   , T = days , M = mmol 



                               Node( 31)

         time         h        theta    Temp   
        614.0000     -340.71  0.1524   20.000
        615.0000     -359.86  0.1482   20.000
        616.0000     -377.81  0.1443   20.000
        617.0000     -388.16  0.1422   20.000
        618.0000     -378.65  0.1442   20.000
        619.0000     -387.01  0.1425   20.000
        620.0000     -402.90  0.1400   20.000
        621.0000     -179.78  0.2073   20.000
        622.0000     -163.45  0.2165   20.000
        623.0000     -172.00  0.2117   20.000
        624.0000     -169.92  0.2129   20.000
        625.0000     -178.94  0.2077   20.000
        626.0000     -193.55  0.1998   20.000
        627.0000     -210.88  0.1924   20.000
        628.0000     -225.64  0.1862   20.000
        629.0000     -238.47  0.1808   20.000
        630.0000     -248.55  0.1774   20.000
        631.0000     -253.95  0.1758   20.000
        632.0000     -257.48  0.1747   20.000
        633.0000     -267.11  0.1718   20.000
        634.0000     -223.82  0.1871   20.000
        635.0000     -205.35  0.1948   20.000
        636.0000     -215.33  0.1906   20.000
        637.0000     -225.67  0.1863   20.000
        638.0000     -238.30  0.1810   20.000
        639.0000     -252.66  0.1762   20.000
        640.0000     -265.83  0.1722   20.000
        641.0000     -278.93  0.1682   20.000
        642.0000     -182.64  0.2056   20.000
        643.0000     -159.47  0.2188   20.000
        644.0000     -174.77  0.2101   20.000
        645.0000     -190.36  0.2012   20.000
        646.0000     -205.41  0.1947   20.000
        647.0000     -219.18  0.1889   20.000
        648.0000     -231.92  0.1836   20.000
        649.0000     -242.76  0.1792   20.000
        650.0000     -252.62  0.1762   20.000
        651.0000     -264.32  0.1727   20.000
        652.0000     -276.15  0.1691   20.000
        653.0000     -288.00  0.1655   20.000
        654.0000     -299.13  0.1621   20.000
        655.0000     -309.87  0.1592   20.000
        656.0000     -311.79  0.1588   20.000
        657.0000     -306.74  0.1599   20.000
        658.0000     -312.50  0.1586   20.000
        659.0000     -321.55  0.1567   20.000
        660.0000     -332.14  0.1543   20.000
        661.0000     -342.96  0.1520   20.000
        662.0000     -353.02  0.1498   20.000
        663.0000     -358.47  0.1485   20.000
        664.0000     -365.65  0.1470   20.000
        665.0000     -369.70  0.1460   20.000
        666.0000     -373.83  0.1452   20.000
        667.0000     -379.20  0.1441   20.000
        668.0000     -385.68  0.1426   20.000
        669.0000     -391.09  0.1418   20.000
        670.0000     -388.65  0.1422   20.000
        671.0000     -376.20  0.1447   20.000
        672.0000     -345.63  0.1514   20.000
        673.0000     -342.78  0.1520   20.000
        674.0000     -347.72  0.1509   20.000
        675.0000     -352.32  0.1499   20.000
        676.0000     -352.04  0.1500   20.000
        677.0000     -322.82  0.1563   20.000
        678.0000     -257.69  0.1747   20.000
        679.0000     -246.56  0.1781   20.000
        680.0000     -256.34  0.1751   20.000
        681.0000     -266.58  0.1720   20.000
        682.0000     -274.88  0.1694   20.000
        683.0000     -262.63  0.1731   20.000
        684.0000     -248.93  0.1773   20.000
        685.0000     -254.54  0.1756   20.000
