

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 

   130.00000 -0.189861E+02  0.186591E+02 -0.190170E+02  0.154870E+02 -0.412310E+01   -757.965   -719.481   -454.671     130
   131.00000 -0.189861E+02  0.191199E+02 -0.190180E+02  0.159478E+02 -0.413449E+01  -1196.269   -962.332   -459.207     131
   132.00000 -0.204861E+02  0.193566E+02 -0.205179E+02  0.161845E+02 -0.414557E+01   -188.488   -513.745   -463.451     132
   133.00000 -0.204861E+02  0.197243E+02 -0.205183E+02  0.165522E+02 -0.415623E+01   -425.780   -518.614   -467.375     133
   134.00000 -0.204861E+02  0.202011E+02 -0.205192E+02  0.170290E+02 -0.416650E+01   -645.153   -652.423   -471.090     134
   135.00000 -0.221861E+02  0.202685E+02 -0.222191E+02  0.170963E+02 -0.417647E+01   -156.194   -331.213   -474.717     135
   136.00000 -0.221861E+02  0.204425E+02 -0.222195E+02  0.172704E+02 -0.418606E+01   -295.672   -332.758   -478.307     136
   137.00000 -0.224861E+02  0.207654E+02 -0.225195E+02  0.175933E+02 -0.419532E+01   -284.353   -353.886   -481.901     137
   138.00000 -0.224861E+02  0.211791E+02 -0.225201E+02  0.180069E+02 -0.420421E+01   -439.682   -435.451   -485.465     138
   139.00000 -0.224678E+02  0.215753E+02 -0.225016E+02  0.184031E+02 -0.421283E+01   -623.307   -543.844   -488.967     139
   140.00000 -0.232878E+02  0.219003E+02 -0.233216E+02  0.187282E+02 -0.422136E+01   -246.969   -431.354   -491.499     140
   141.00000 -0.232914E+02  0.223613E+02 -0.233252E+02  0.191892E+02 -0.422983E+01   -496.711   -519.118   -492.735     141
   142.00000 -0.233914E+02  0.227881E+02 -0.234252E+02  0.196159E+02 -0.423828E+01   -559.061   -617.367   -493.106     142
   143.00000 -0.236114E+02  0.230679E+02 -0.236452E+02  0.198958E+02 -0.424672E+01   -467.149   -630.946   -493.073     143
   144.00000 -0.235942E+02  0.235398E+02 -0.236292E+02  0.203677E+02 -0.425516E+01   -932.956   -817.260   -493.031     144
   145.00000 -0.235942E+02  0.240139E+02 -0.236290E+02  0.208401E+02 -0.426360E+01  -1611.786  -1172.801   -493.300     145
   146.00000 -0.235942E+02  0.245073E+02 -0.236274E+02  0.212779E+02 -0.427202E+01  -3447.242  -1971.317   -493.952     146
   147.00000 -0.238542E+02  0.248784E+02 -0.238874E+02  0.215867E+02 -0.428041E+01   -735.291  -2077.222   -494.963     147
   148.00000 -0.248642E+02  0.251587E+02 -0.248974E+02  0.218374E+02 -0.428876E+01   -265.863  -1132.410   -496.446     148
   149.00000 -0.271542E+02  0.254807E+02 -0.271874E+02  0.221576E+02 -0.429704E+01   -135.772   -375.363   -498.413     149
   150.00000 -0.277242E+02  0.256672E+02 -0.277574E+02  0.223441E+02 -0.430524E+01   -196.814   -269.899   -500.858     150
   151.00000 -0.276847E+02  0.261173E+02 -0.277195E+02  0.227941E+02 -0.431334E+01   -340.012   -343.538   -503.717     151
   152.00000 -0.276847E+02  0.265034E+02 -0.277190E+02  0.231803E+02 -0.432132E+01   -448.029   -428.189   -506.623     152
   153.00000 -0.276847E+02  0.267726E+02 -0.277175E+02  0.234495E+02 -0.432920E+01   -560.378   -508.042   -509.005     153
