 ******* Program HYDRUS
 ******* Infiltration and drainage in a large caisson                            
 Date:   1. 1.    Time: ***: 0:**
 Units: L = cm   , T = min  , M = mmol 


    TLevel      Time          dt      Iter    ItCum  KodT  KodB  Convergency
      283  0.2290000E+03  0.50000E+00    2      566    -1     1     T
      285  0.2300000E+03  0.50000E+00    2      570    -1     1     T
      287  0.2310000E+03  0.50000E+00    2      574    -1     1     T
      289  0.2320000E+03  0.50000E+00    2      578    -1     1     T
      291  0.2330000E+03  0.50000E+00    2      582    -1     1     T
      293  0.2340000E+03  0.50000E+00    2      586    -1     1     T
      295  0.2350000E+03  0.50000E+00    2      590    -1     1     T
      297  0.2360000E+03  0.50000E+00    2      594    -1     1     T
      299  0.2370000E+03  0.50000E+00    2      598    -1     1     T
      301  0.2380000E+03  0.50000E+00    2      602    -1     1     T
      303  0.2390000E+03  0.50000E+00    2      606    -1     1     T
      305  0.2400000E+03  0.50000E+00    2      610    -1     1     T
      307  0.2410000E+03  0.50000E+00    2      614    -1     1     T
      309  0.2420000E+03  0.50000E+00    2      618    -1     1     T
      311  0.2430000E+03  0.50000E+00    2      622    -1     1     T
      313  0.2440000E+03  0.50000E+00    2      626    -1     1     T
      315  0.2450000E+03  0.50000E+00    2      630    -1     1     T
      317  0.2460000E+03  0.50000E+00    2      634    -1     1     T
      319  0.2470000E+03  0.50000E+00    2      638    -1     1     T
      321  0.2480000E+03  0.50000E+00    2      642    -1     1     T
      323  0.2490000E+03  0.50000E+00    2      646    -1     1     T
      325  0.2500000E+03  0.50000E+00    2      650    -1     1     T
      327  0.2510000E+03  0.50000E+00    2      654    -1     1     T
      329  0.2520000E+03  0.50000E+00    2      658    -1     1     T
      331  0.2530000E+03  0.50000E+00    2      662    -1     1     T
      333  0.2540000E+03  0.50000E+00    2      666    -1     1     T
      335  0.2550000E+03  0.50000E+00    2      670    -1     1     T
      337  0.2560000E+03  0.50000E+00    2      674    -1     1     T
      339  0.2570000E+03  0.50000E+00    2      678    -1     1     T
      341  0.2580000E+03  0.50000E+00    2      682    -1     1     T
      343  0.2590000E+03  0.50000E+00    2      686    -1     1     T
      345  0.2600000E+03  0.50000E+00    2      690    -1     1     T
      347  0.2610000E+03  0.50000E+00    2      694    -1     1     T
      349  0.2620000E+03  0.50000E+00    2      698    -1     1     T
      351  0.2630000E+03  0.50000E+00    2      702    -1     1     T
      353  0.2640000E+03  0.50000E+00    2      706    -1     1     T
      355  0.2650000E+03  0.50000E+00    2      710    -1     1     T
      357  0.2660000E+03  0.50000E+00    2      714    -1     1     T
      359  0.2670000E+03  0.50000E+00    2      718    -1     1     T
      361  0.2680000E+03  0.50000E+00    2      722    -1     1     T
      363  0.2690000E+03  0.50000E+00    2      726    -1     1     T
      365  0.2700000E+03  0.50000E+00    2      730    -1     1     T
      367  0.2710000E+03  0.50000E+00    2      734    -1     1     T
      369  0.2720000E+03  0.50000E+00    2      738    -1     1     T
      371  0.2730000E+03  0.50000E+00    2      742    -1     1     T
end
