 ******* Program HYDRUS
 ******* Infiltration and drainage in a large caisson                            
 Date:   1. 1.    Time: ***: 0:**
 Units: L = cm   , T = min  , M = mmol 

 CosAlf,MaxIt,TolTh,  TolH
 1.000   10   0.001 1.00000

 TopInF,BotInF,AtmBC,SinkF,WLayer,qGWLF,FreeD,SeepF,lWat,lChem,lTemp,lRoot,lWDep
     F     F     F     F     F     F     F     F     T     F     F     F     F

Nodal point information

node      x         hOld    MatN LayN  Beta      Ah       AK      ATh     Temp    Conc(1...NS)         Sorb(1...NS)

   1      0.000      0.342    1    1   0.000    1.000    1.000    1.000
   2     -0.100      0.342    1    1   0.000    1.000    1.000    1.000
   3     -0.200      0.342    1    1   0.000    1.000    1.000    1.000
   4     -0.300      0.342    1    1   0.000    1.000    1.000    1.000
   5     -0.400      0.342    2    1   0.000    1.000    1.000    1.000
   6     -0.500      0.342    2    1   0.000    1.000    1.000    1.000
   7     -0.600      0.342    2    1   0.000    1.000    1.000    1.000
   8     -0.700      0.342    2    1   0.000    1.000    1.000    1.000
   9     -0.800      0.342    2    1   0.000    1.000    1.000    1.000
  10     -0.900      0.342    2    1   0.000    1.000    1.000    1.000
  11     -1.000      0.342    2    1   0.000    1.000    1.000    1.000
end

 Number of species in the chain :   0


MatNum, Param. array:

   Mat     Qr     Qs        Alfa         n          Ks      l

    1    0.080  0.342   0.300E-01   0.500E+01   0.100E+01 -0.500
    2    0.080  0.342   0.300E-01   0.500E+01   0.100E+00 -0.500

       Table of Hydraulic Properties which are interpolated in simulation
       =================================================================

  0.3421  -0.231E+01  0.3636E+00  0.7256E-06  0.1000E+01 -0.1975E-04    1.0000  0.3819E-30
  0.3421  -0.292E+01  0.4646E+00  0.1840E-05  0.9999E+00 -0.4991E-04    1.0000  0.1987E-28
  0.3421  -0.368E+01  0.5657E+00  0.4664E-05  0.9997E+00 -0.1260E-03    1.0000  0.9541E-27
  0.3421  -0.464E+01  0.6667E+00  0.1182E-04  0.9993E+00 -0.3175E-03    1.0000  0.4607E-25
  0.3421  -0.586E+01  0.7677E+00  0.2997E-04  0.9982E+00 -0.7991E-03    0.9999  0.2227E-23
  0.3420  -0.739E+01  0.8687E+00  0.7594E-04  0.9954E+00 -0.2008E-02    0.9996  0.1074E-21
  0.3417  -0.933E+01  0.9697E+00  0.1921E-03  0.9885E+00 -0.5034E-02    0.9986  0.5165E-20
  0.3410  -0.118E+02  0.1071E+01  0.4838E-03  0.9714E+00 -0.1259E-01    0.9956  0.2464E-18
  0.3385  -0.148E+02  0.1172E+01  0.1201E-02  0.9303E+00 -0.3139E-01    0.9862  0.1147E-16
  0.3309  -0.187E+02  0.1273E+01  0.2847E-02  0.8360E+00 -0.7778E-01    0.9572  0.4949E-15
  0.3097  -0.236E+02  0.1374E+01  0.5915E-02  0.6469E+00 -0.1892E+00    0.8762  0.1712E-13
  0.2623  -0.298E+02  0.1475E+01  0.8917E-02  0.3675E+00 -0.4348E+00    0.6955  0.3442E-12
  0.1938  -0.376E+02  0.1576E+01  0.7829E-02  0.1308E+00 -0.8834E+00    0.4341  0.2715E-11
  0.1360  -0.475E+02  0.1677E+01  0.4031E-02  0.3015E-01 -0.1521E+01    0.2137  0.8126E-11
  0.1040  -0.599E+02  0.1778E+01  0.1523E-02  0.5438E-02 -0.2265E+01    0.0917  0.1314E-10
  0.0898  -0.756E+02  0.1879E+01  0.5073E-03  0.8890E-03 -0.3051E+01    0.0372  0.1596E-10
  0.0839  -0.955E+02  0.1980E+01  0.1618E-03  0.1405E-03 -0.3852E+01    0.0148  0.1723E-10
  0.0815  -0.120E+03  0.2081E+01  0.5090E-04  0.2197E-04 -0.4658E+01    0.0059  0.1776E-10
  0.0806  -0.152E+03  0.2182E+01  0.1594E-04  0.3423E-05 -0.5466E+01    0.0023  0.1797E-10
  0.0802  -0.192E+03  0.2283E+01  0.4986E-05  0.5327E-06 -0.6274E+01    0.0009  0.1805E-10
  0.0801  -0.242E+03  0.2384E+01  0.1559E-05  0.8288E-07 -0.7082E+01    0.0004  0.1809E-10
  0.0800  -0.305E+03  0.2485E+01  0.4873E-06  0.1289E-07 -0.7890E+01    0.0001  0.1810E-10
  0.0800  -0.385E+03  0.2586E+01  0.1523E-06  0.2006E-08 -0.8698E+01    0.0001  0.1810E-10
  0.0800  -0.486E+03  0.2687E+01  0.4761E-07  0.3121E-09 -0.9506E+01    0.0000  0.1810E-10
  0.0800  -0.614E+03  0.2788E+01  0.1488E-07  0.4855E-10 -0.1031E+02    0.0000  0.1810E-10
  0.0800  -0.774E+03  0.2889E+01  0.4652E-08  0.7553E-11 -0.1112E+02    0.0000  0.1810E-10
  0.0800  -0.977E+03  0.2990E+01  0.1454E-08  0.1175E-11 -0.1193E+02    0.0000  0.1810E-10
  0.0800  -0.123E+04  0.3091E+01  0.4545E-09  0.1828E-12 -0.1274E+02    0.0000  0.1810E-10
