 ******* Program HYDRUS
 ******* Infiltration and drainage in a large caisson                            
 Date:   1. 1.    Time: ***: 0:**
 Units: L = cm   , T = min  , M = mmol 

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]
     118.0000  0.00000E+00  0.00000E+00  0.23842E-06  0.00000E+00 -0.19073E-06  0.00000E+00  0.00000E+00  0.66757E-05  0.00000E+00 -0.52869E-05 -0.65800E+00  0.00000E+00  0.34200E+00  0.00000E+00  0.00000E+00  0.34210E+00  0.00000E+00  0.66757E-05     61  0.00000E+00      0.000
     119.0000  0.00000E+00  0.00000E+00  0.23842E-06  0.00000E+00 -0.19073E-06  0.00000E+00  0.00000E+00  0.69141E-05  0.00000E+00 -0.54777E-05 -0.65800E+00  0.00000E+00  0.34200E+00  0.00000E+00  0.00000E+00  0.34210E+00  0.00000E+00  0.69141E-05     63  0.00000E+00      0.000
     120.0000  0.00000E+00  0.00000E+00  0.23842E-06  0.00000E+00 -0.19073E-06  0.00000E+00  0.00000E+00  0.71526E-05  0.00000E+00 -0.56684E-05 -0.65800E+00  0.00000E+00  0.34200E+00  0.00000E+00  0.00000E+00  0.34210E+00  0.00000E+00  0.71526E-05     65  0.00000E+00      0.000
     121.0000  0.00000E+00  0.00000E+00  0.23842E-06  0.00000E+00 -0.19073E-06  0.00000E+00  0.00000E+00  0.73910E-05  0.00000E+00 -0.58591E-05 -0.65800E+00  0.00000E+00  0.34200E+00  0.00000E+00  0.00000E+00  0.34210E+00  0.00000E+00  0.73910E-05     67  0.00000E+00      0.000
     122.0000  0.00000E+00  0.00000E+00  0.23842E-06  0.00000E+00 -0.19073E-06  0.00000E+00  0.00000E+00  0.76294E-05  0.00000E+00 -0.60499E-05 -0.65800E+00  0.00000E+00  0.34200E+00  0.00000E+00  0.00000E+00  0.34210E+00  0.00000E+00  0.76294E-05     69  0.00000E+00      0.000
     123.0000  0.00000E+00  0.00000E+00  0.23842E-06  0.00000E+00 -0.19073E-06  0.00000E+00  0.00000E+00  0.78678E-05  0.00000E+00 -0.62406E-05 -0.65800E+00  0.00000E+00  0.34200E+00  0.00000E+00  0.00000E+00  0.34210E+00  0.00000E+00  0.78678E-05     71  0.00000E+00      0.000
     124.0000  0.00000E+00  0.00000E+00  0.23842E-06  0.00000E+00 -0.19073E-06  0.00000E+00  0.00000E+00  0.81062E-05  0.00000E+00 -0.64313E-05 -0.65800E+00  0.00000E+00  0.34200E+00  0.00000E+00  0.00000E+00  0.34210E+00  0.00000E+00  0.81062E-05     73  0.00000E+00      0.000
     125.0000  0.00000E+00  0.00000E+00  0.23842E-06  0.00000E+00 -0.19073E-06  0.00000E+00  0.00000E+00  0.83446E-05  0.00000E+00 -0.66221E-05 -0.65800E+00  0.00000E+00  0.34200E+00  0.00000E+00  0.00000E+00  0.34210E+00  0.00000E+00  0.83446E-05     75  0.00000E+00      0.000
     126.0000  0.00000E+00  0.00000E+00  0.23842E-06  0.00000E+00 -0.19073E-06  0.00000E+00  0.00000E+00  0.85831E-05  0.00000E+00 -0.68128E-05 -0.65800E+00  0.00000E+00  0.34200E+00  0.00000E+00  0.00000E+00  0.34210E+00  0.00000E+00  0.85831E-05     77  0.00000E+00      0.000
     127.0000  0.00000E+00  0.00000E+00  0.23842E-06  0.00000E+00 -0.19073E-06  0.00000E+00  0.00000E+00  0.88215E-05  0.00000E+00 -0.70035E-05 -0.65800E+00  0.00000E+00  0.34200E+00  0.00000E+00  0.00000E+00  0.34210E+00  0.00000E+00  0.88215E-05     79  0.00000E+00      0.000
